ticker,qend,shr_chg,holder_chg_pct,fwd_qret,q
AAPL,2018-06-30,-0.02514615436379919,0.027259684361549574,-0.0736994206637683,Q2
AAPL,2018-09-30,-0.038715676688559464,0.0572625698324023,-0.08450473806382991,Q2
AAPL,2018-12-31,0.22259549239945753,0.00484368119771017,0.1107950972090007,Q4 most BUYING
AAPL,2019-03-31,-0.16456426518876832,-0.01774758983347935,0.06391156110814472,Q1 most SELLING
AAPL,2019-06-30,0.015740256254269003,0.14699977693508814,0.2592159681141022,Q3
AAPL,2019-09-30,-0.06295143027560257,0.0025281991443018015,0.1967773905311438,Q1 most SELLING
AAPL,2019-12-31,-0.017471641159052864,0.005431619786614883,-0.05181023183150715,Q2
AAPL,2020-03-31,-0.03247702502747529,0.06405556627435849,0.403065451086119,Q2
AAPL,2020-06-30,0.08252099398638735,0.07597461468721667,0.038482883362860924,Q4 most BUYING
AAPL,2020-09-30,-0.07165052430264696,-0.21857094708459723,0.07680554785968802,Q1 most SELLING
AAPL,2020-12-31,2.577434924991398,0.04852275177916754,-0.05165697629895925,Q4 most BUYING
AAPL,2021-03-31,0.03012982449965329,0.5086384204031262,0.18114901848971549,Q3
AAPL,2021-06-30,-0.0735614527809777,-0.24880708929788686,-0.006047491070215257,Q1 most SELLING
AAPL,2021-09-30,0.09065699885771861,0.15299455535390205,0.1427148674252499,Q4 most BUYING
AAPL,2021-12-31,-0.0675049371333113,-0.13757280025184948,-0.1472692515763144,Q1 most SELLING
AAPL,2022-03-31,0.04644208257907878,0.10074831173571819,0.17440187154900472,Q3
AAPL,2022-06-30,-0.02538809594595226,0.08555795058862548,-0.1440984238110092,Q2
AAPL,2022-09-30,-0.0028637627675779376,-0.0003054834275240115,0.04797514300795107,Q2
AAPL,2022-12-31,-0.011127639671554057,-0.06951871657754005,0.1175394019347745,Q2
AAPL,2023-03-31,0.0514160073698684,0.07651888341543511,0.032136887744077504,Q3
AAPL,2023-06-30,0.04868296982233167,0.017998779743746196,0.039259037677986344,Q3
AAPL,2023-09-30,0.413954299333418,-0.0058435720707221694,-0.018009019897362453,Q4 most BUYING
AAPL,2023-12-31,-0.22662486857010256,0.2055764883195177,0.031154079786086558,Q1 most SELLING
MSFT,2018-06-30,-0.0033613834715046087,0.0315348608031536,-0.02101817855305223,Q2
MSFT,2018-09-30,-0.017206098886442645,0.03176498686410323,0.030029250982733503,Q2
MSFT,2018-12-31,0.23343973024705122,0.0064814814814815325,0.19533211926849048,Q4 most BUYING
MSFT,2019-03-31,-0.14873541171049998,0.04047838086476552,0.06457448724323789,Q1 most SELLING
MSFT,2019-06-30,0.05188750587387725,0.09593280282935446,0.09321797914084011,Q4 most BUYING
MSFT,2019-09-30,-0.051435234036337096,0.004437273093989447,0.23811707995828676,Q1 most SELLING
MSFT,2019-12-31,-0.021323830401136834,0.0036144578313253017,-0.009158619842936179,Q2
MSFT,2020-03-31,-0.031480274940833386,0.06042416966786712,0.13427707412740586,Q2
MSFT,2020-06-30,0.04183175367162484,0.015283018867924492,0.03324130942750742,Q3
MSFT,2020-09-30,-0.02741406120434664,-0.0923620144954469,0.12026551193842203,Q2
MSFT,2020-12-31,-0.03451501612191965,0.04135954135954134,0.008355057811560776,Q2
MSFT,2021-03-31,0.01793466147811662,0.5699960676366496,0.1859324942827965,Q3
MSFT,2021-06-30,-0.04998325722776531,-0.27939887288666254,0.13554582037765836,Q1 most SELLING
MSFT,2021-09-30,0.07981295556528423,-0.007473062217587811,-0.11014355581186719,Q4 most BUYING
