,RMSE,MAE,DirAcc,DirAcc %
XGBoost (tuned),0.020898313622159714,0.015764407291230947,0.5254746347941567,52.54746347941567
Random Forest,0.020813275112682057,0.015663041655997762,0.5238746347941566,52.387463479415665
Extra-Trees,0.020749758376987497,0.015590992798685066,0.5180324037184596,51.80324037184596
MLP (5-seed ens.),0.02095048934185902,0.015746206179690428,0.5108100929614875,51.08100929614875
Ridge (a=10),0.021161995694606923,0.015950698516537607,0.509470385126162,50.9470385126162
Linear Regression,0.02123008206754915,0.016001262683147867,0.507870385126162,50.7870385126162
XGBoost (default),0.023179038567121904,0.01774841337132319,0.5070693227091633,50.706932270916326
Hybrid (XGB+LSTM),0.0210391218831036,0.015888009328576615,0.5065402390438247,50.65402390438247
LSTM,0.02163615162379782,0.016420338908787482,0.5049253652058432,50.492536520584316
