channel,delta_pp,improved,p_value
price+sentiment,-0.21354581673306725,12/30,0.4689160840594928
price+extremes,-0.5848605577689248,9/30,0.20931881599713698
price+fear&greed,-0.8661885790172639,6/30,0.0020459752973096927
price+events,-1.0260292164674631,6/30,0.02853990979255913
Wikipedia attention,-0.47814077025232443,10/30,0.22879266450164382
Hourly sentiment,0.09295348121543048,19/40,0.7502923843176232
Forex macro-news,-1.346153846153845,4/12,0.13546505815813872
