,Close,High,Low,Open,Volume,SimpleReturn,LogReturn
2018-01-02,40.267066955566406,40.27641925330551,39.56579443310673,39.77617832995853,102223600.0,,
2018-01-03,40.26006317138672,40.80238241744237,40.19695119893329,40.33019115208112,118071600.0,-0.00017393330851278588,-0.00017394843666490944
2018-01-04,40.447059631347656,40.54991350126068,40.22499072141163,40.332517173152446,89738400.0,0.004644713525780997,0.004633960128688992
2018-01-05,40.90757369995117,40.99406285723671,40.45174716352319,40.54291247080879,94640000.0,0.01138560065430827,0.011321272519000935
2018-01-08,40.75563049316406,41.05016372371372,40.657449182790344,40.75563049316406,82271200.0,-0.003714305030691478,-0.0037212201902739723
2018-01-09,40.750953674316406,40.921595685232134,40.53589715868877,40.802380620103136,86336000.0,-0.00011475270511251967,-0.00011475928970792324
2018-01-10,40.741600036621094,40.74393989480724,40.440054379738385,40.477456442146824,95839600.0,-0.00022953174961415357,-0.00022955809605783471
2018-01-11,40.973018646240234,41.02210929584681,40.788351771134415,40.8117253834916,74670800.0,0.005680155158636957,0.005664083906740085
2018-01-12,41.39613723754883,41.45925279544963,41.059525684555624,41.18341694130197,101672400.0,0.010326761495456083,0.010273804762966165
2018-01-16,41.18574905395508,41.933772604993706,41.17406046145214,41.58547252280897,118263600.0,-0.005082314380843167,-0.005095273266643653
2018-01-17,41.8659782409668,41.901040446396664,40.92393560860837,41.176390621417674,137547200.0,0.016516130036158705,0.016381222171047993
2018-01-18,41.903377532958984,42.099736587663685,41.66728368925117,41.9290910063812,124773600.0,0.0008933098798487027,0.0008929111160400815
2018-01-19,41.71637344360352,41.97818075507873,41.47092730566695,41.75143564894141,129700400.0,-0.00446274501878452,-0.004472732791669001
2018-01-22,41.37507247924805,41.55740302177423,41.28157091733676,41.44520043410949,108434400.0,-0.008181462964820807,-0.008215114806161817
2018-01-23,41.38444137573242,41.9454617211586,41.33301798842127,41.44522063076343,130756400.0,0.0002264381890586531,0.00022641255580141357
2018-01-24,40.72523498535156,41.44520856729474,40.48680131877495,41.43351997804808,204420400.0,-0.015928845925353374,-0.016057073492731534
