ticker,model,fold,RMSE,DirAcc
AAPL,LSTM,2022,0.02256888446893112,0.5059760956175299
AAPL,XGB,2022,0.022368256531410696,0.47410358565737054
AAPL,Hybrid,2022,0.022291081793197064,0.5258964143426295
AAPL,LSTM,2023,0.013875696052292106,0.452
AAPL,XGB,2023,0.012758660085269602,0.532
AAPL,Hybrid,2023,0.013134987107567513,0.46
AAPL,LSTM,2024,0.014508175919250304,0.536
AAPL,XGB,2024,0.014200583648376007,0.548
AAPL,Hybrid,2024,0.014223959352472842,0.54
MSFT,LSTM,2022,0.025646842677461167,0.4900398406374502
MSFT,XGB,2022,0.023539275382876472,0.4541832669322709
MSFT,Hybrid,2022,0.024154048067071374,0.4820717131474104
MSFT,LSTM,2023,0.01640586528749315,0.5
MSFT,XGB,2023,0.015666091163290013,0.568
MSFT,Hybrid,2023,0.01589156114812903,0.504
MSFT,LSTM,2024,0.013469990937673714,0.524
MSFT,XGB,2024,0.012940331679770633,0.512
MSFT,Hybrid,2024,0.013110579681144192,0.54
JPM,LSTM,2022,0.020067087821824325,0.47808764940239046
JPM,XGB,2022,0.01911292954131776,0.4541832669322709
JPM,Hybrid,2022,0.019374667665485765,0.47410358565737054
JPM,LSTM,2023,0.0137961223625684,0.444
JPM,XGB,2023,0.013096119949818548,0.552
JPM,Hybrid,2023,0.013304653963286213,0.456
JPM,LSTM,2024,0.015058179735791254,0.484
JPM,XGB,2024,0.014645009422437707,0.616
JPM,Hybrid,2024,0.014780543578521637,0.516
TSLA,LSTM,2022,0.04460824509400987,0.545816733067729
TSLA,XGB,2022,0.04302782718819607,0.5338645418326693
TSLA,Hybrid,2022,0.04338839945003001,0.545816733067729
TSLA,LSTM,2023,0.033417185150807355,0.54
TSLA,XGB,2023,0.03244050419414464,0.568
TSLA,Hybrid,2023,0.03264983840248413,0.54
TSLA,LSTM,2024,0.039399536556828284,0.552
TSLA,XGB,2024,0.03928610715376207,0.532
TSLA,Hybrid,2024,0.039161116007198106,0.556
XOM,LSTM,2022,0.023729081225488176,0.46613545816733065
XOM,XGB,2022,0.022437179058027706,0.5537848605577689
XOM,Hybrid,2022,0.022730433454280854,0.4900398406374502
XOM,LSTM,2023,0.016229642222488145,0.508
XOM,XGB,2023,0.01577280227616551,0.496
XOM,Hybrid,2023,0.015912370495481717,0.516
XOM,LSTM,2024,0.012493761102752276,0.456
XOM,XGB,2024,0.012183027057532264,0.488
XOM,Hybrid,2024,0.012254276022913952,0.452
