group,ticker,fold,k,DirAcc,RMSE,naive,edge
DEVELOPMENT,JPM,2023,10,0.512,0.013095905485828277,0.568,-5.599999999999994
DEVELOPMENT,JPM,2023,12,0.556,0.012999717615152404,0.568,-1.19999999999999
DEVELOPMENT,JPM,2023,15,0.564,0.01296058744068619,0.568,-0.40000000000000036
DEVELOPMENT,JPM,2024,5,0.596,0.01457952678748791,0.572,2.400000000000002
DEVELOPMENT,JPM,2024,8,0.6,0.014671229355538763,0.572,2.8000000000000025
DEVELOPMENT,JPM,2024,10,0.592,0.014728726368089827,0.572,2.0000000000000018
DEVELOPMENT,JPM,2024,12,0.612,0.014707403001572923,0.572,4.0000000000000036
DEVELOPMENT,JPM,2024,15,0.612,0.014641021541430484,0.572,4.0000000000000036
DEVELOPMENT,TSLA,2022,5,0.5059760956175299,0.04300814549585598,0.4820717131474104,2.39043824701195
DEVELOPMENT,TSLA,2022,8,0.5298804780876494,0.04309482936871936,0.4820717131474104,4.7808764940239
DEVELOPMENT,TSLA,2022,10,0.4820717131474104,0.04299286310347018,0.4820717131474104,0.0
DEVELOPMENT,TSLA,2022,12,0.4900398406374502,0.043127820840690195,0.4820717131474104,0.7968127490039834
DEVELOPMENT,TSLA,2022,15,0.50199203187251,0.04285226774781674,0.4820717131474104,1.9920318725099584
DEVELOPMENT,TSLA,2023,5,0.592,0.03239724627779377,0.548,4.399999999999993
DEVELOPMENT,TSLA,2023,8,0.572,0.032262548882328455,0.548,2.399999999999991
DEVELOPMENT,TSLA,2023,10,0.58,0.0322085458357195,0.548,3.1999999999999917
DEVELOPMENT,TSLA,2023,12,0.564,0.03246712418295907,0.548,1.5999999999999903
DEVELOPMENT,TSLA,2023,15,0.556,0.03235912936310865,0.548,0.8000000000000007
DEVELOPMENT,TSLA,2024,5,0.568,0.03956292814005482,0.508,5.999999999999995
DEVELOPMENT,TSLA,2024,8,0.568,0.03933420659694229,0.508,5.999999999999995
DEVELOPMENT,TSLA,2024,10,0.556,0.039408377315843825,0.508,4.800000000000004
DEVELOPMENT,TSLA,2024,12,0.544,0.03927419161140623,0.508,3.600000000000003
DEVELOPMENT,TSLA,2024,15,0.536,0.039406975936233546,0.508,2.8000000000000025
DEVELOPMENT,XOM,2022,5,0.5139442231075697,0.022862598628388096,0.5737051792828686,-5.976095617529886
