group,ticker,fold,k,DirAcc,RMSE,naive,edge
VALIDATION (unseen),BA,2024,12,0.47808764940239046,0.02180922666032343,0.47808764940239046,0.0
VALIDATION (unseen),BA,2024,15,0.5298804780876494,0.021946989094381673,0.47808764940239046,5.179282868525892
VALIDATION (unseen),GS,2022,5,0.4541832669322709,0.018761003665762905,0.4701195219123506,-1.5936254980079723
VALIDATION (unseen),GS,2022,8,0.4860557768924303,0.018752235809000664,0.4701195219123506,1.5936254980079667
VALIDATION (unseen),GS,2022,10,0.49800796812749004,0.01893752560834353,0.4701195219123506,2.7888446215139417
VALIDATION (unseen),GS,2022,12,0.47808764940239046,0.018909639701097877,0.4701195219123506,0.7968127490039834
VALIDATION (unseen),GS,2022,15,0.47808764940239046,0.018968831323235746,0.4701195219123506,0.7968127490039834
VALIDATION (unseen),GS,2023,5,0.524,0.01534087274487688,0.54,-1.6000000000000014
VALIDATION (unseen),GS,2023,8,0.512,0.015255619836943759,0.54,-2.8000000000000025
VALIDATION (unseen),GS,2023,10,0.548,0.015190034933754194,0.54,0.8000000000000007
VALIDATION (unseen),GS,2023,12,0.548,0.015210955570181744,0.54,0.8000000000000007
VALIDATION (unseen),GS,2023,15,0.56,0.015136815117763557,0.54,2.0000000000000018
VALIDATION (unseen),GS,2024,5,0.5298804780876494,0.0161280579842214,0.5378486055776892,-0.7968127490039834
VALIDATION (unseen),GS,2024,8,0.5378486055776892,0.016145775308765715,0.5378486055776892,0.0
VALIDATION (unseen),GS,2024,10,0.5099601593625498,0.01614848384262788,0.5378486055776892,-2.7888446215139417
VALIDATION (unseen),GS,2024,12,0.5258964143426295,0.01613990689791272,0.5378486055776892,-1.195219123505975
VALIDATION (unseen),GS,2024,15,0.5577689243027888,0.01615224256749622,0.5378486055776892,1.9920318725099584
VALIDATION (unseen),BAC,2022,5,0.4262948207171315,0.021671050058679208,0.43824701195219123,-1.195219123505975
VALIDATION (unseen),BAC,2022,8,0.4342629482071713,0.0213464516939565,0.43824701195219123,-0.3984063745019917
VALIDATION (unseen),BAC,2022,10,0.4900398406374502,0.021276178603080044,0.43824701195219123,5.179282868525897
VALIDATION (unseen),BAC,2022,12,0.44223107569721115,0.021175745268960516,0.43824701195219123,0.3984063745019917
VALIDATION (unseen),BAC,2022,15,0.43824701195219123,0.021277393991440983,0.43824701195219123,0.0
VALIDATION (unseen),BAC,2023,5,0.468,0.017546024698616526,0.484,-1.5999999999999959
VALIDATION (unseen),BAC,2023,8,0.496,0.017597499223837604,0.484,1.200000000000001
VALIDATION (unseen),BAC,2023,10,0.476,0.017258516461485806,0.484,-0.8000000000000007
VALIDATION (unseen),BAC,2023,12,0.484,0.017355641340334543,0.484,0.0
VALIDATION (unseen),BAC,2023,15,0.512,0.01722797743725979,0.484,2.8000000000000025
VALIDATION (unseen),BAC,2024,5,0.5258964143426295,0.014366644605918584,0.5099601593625498,1.5936254980079667
VALIDATION (unseen),BAC,2024,8,0.5338645418326693,0.01428543896774446,0.5099601593625498,2.39043824701195
VALIDATION (unseen),BAC,2024,10,0.5338645418326693,0.014235033303423555,0.5099601593625498,2.39043824701195
VALIDATION (unseen),BAC,2024,12,0.5258964143426295,0.014292789560130937,0.5099601593625498,1.5936254980079667
VALIDATION (unseen),BAC,2024,15,0.5258964143426295,0.014317410235977384,0.5099601593625498,1.5936254980079667
VALIDATION (unseen),CVX,2022,5,0.5537848605577689,0.02129949088012626,0.5657370517928287,-1.1952191235059861
VALIDATION (unseen),CVX,2022,8,0.5418326693227091,0.021119208415408847,0.5657370517928287,-2.390438247011961
VALIDATION (unseen),CVX,2022,10,0.5338645418326693,0.020995076549478357,0.5657370517928287,-3.1872509960159445
VALIDATION (unseen),CVX,2022,12,0.5139442231075697,0.02104145867849931,0.5657370517928287,-5.1792828685259025
VALIDATION (unseen),CVX,2022,15,0.5219123505976095,0.021105612712915583,0.5657370517928287,-4.382470119521919
VALIDATION (unseen),CVX,2023,5,0.46,0.014772332844479728,0.5,-3.9999999999999982
VALIDATION (unseen),CVX,2023,8,0.46,0.01474179151637133,0.5,-3.9999999999999982
VALIDATION (unseen),CVX,2023,10,0.504,0.014694190849472651,0.5,0.40000000000000036
VALIDATION (unseen),CVX,2023,12,0.508,0.014778527984539477,0.5,0.8000000000000007
VALIDATION (unseen),CVX,2023,15,0.492,0.014798875603708088,0.5,-0.8000000000000007
VALIDATION (unseen),CVX,2024,5,0.4900398406374502,0.012246516372139948,0.5537848605577689,-6.374501992031867
VALIDATION (unseen),CVX,2024,8,0.4900398406374502,0.012200445054151205,0.5537848605577689,-6.374501992031867
VALIDATION (unseen),CVX,2024,10,0.5139442231075697,0.012181816541209235,0.5537848605577689,-3.984063745019917
VALIDATION (unseen),CVX,2024,12,0.5139442231075697,0.01219135806895501,0.5537848605577689,-3.984063745019917
VALIDATION (unseen),CVX,2024,15,0.49800796812749004,0.012183688103785558,0.5537848605577689,-5.5776892430278835
VALIDATION (unseen),VZ,2022,5,0.46215139442231074,0.01576205992163518,0.47410358565737054,-1.1952191235059806
VALIDATION (unseen),VZ,2022,8,0.5099601593625498,0.015457798796818167,0.47410358565737054,3.585657370517925
VALIDATION (unseen),VZ,2022,10,0.5577689243027888,0.015248244018578135,0.47410358565737054,8.366533864541825
VALIDATION (unseen),VZ,2022,12,0.5378486055776892,0.015269155680629788,0.47410358565737054,6.374501992031867
VALIDATION (unseen),VZ,2022,15,0.5737051792828686,0.015431349078284815,0.47410358565737054,9.960159362549803
VALIDATION (unseen),VZ,2023,5,0.492,0.014373622785967637,0.536,-4.400000000000004
VALIDATION (unseen),VZ,2023,8,0.52,0.014335628656878149,0.536,-1.6000000000000014
VALIDATION (unseen),VZ,2023,10,0.508,0.014395947688041578,0.536,-2.8000000000000025
VALIDATION (unseen),VZ,2023,12,0.524,0.01436136632196303,0.536,-1.200000000000001
VALIDATION (unseen),VZ,2023,15,0.48,0.014342345917823136,0.536,-5.600000000000005
VALIDATION (unseen),VZ,2024,5,0.5059760956175299,0.013324038333842969,0.5258964143426295,-1.9920318725099584
VALIDATION (unseen),VZ,2024,8,0.4860557768924303,0.013367295790044004,0.5258964143426295,-3.984063745019917
VALIDATION (unseen),VZ,2024,10,0.5179282868525896,0.013230397367393142,0.5258964143426295,-0.7968127490039834
VALIDATION (unseen),VZ,2024,12,0.49800796812749004,0.013196358313187651,0.5258964143426295,-2.7888446215139417
VALIDATION (unseen),VZ,2024,15,0.49800796812749004,0.013225390937366691,0.5258964143426295,-2.7888446215139417
VALIDATION (unseen),DIS,2022,5,0.4940239043824701,0.02454030977275817,0.43824701195219123,5.577689243027889
VALIDATION (unseen),DIS,2022,8,0.4900398406374502,0.025383214984294335,0.43824701195219123,5.179282868525897
VALIDATION (unseen),DIS,2022,10,0.4820717131474104,0.025368819000793158,0.43824701195219123,4.382470119521914
VALIDATION (unseen),DIS,2022,12,0.46613545816733065,0.025303799983114487,0.43824701195219123,2.7888446215139417
VALIDATION (unseen),DIS,2022,15,0.4701195219123506,0.02498454906453018,0.43824701195219123,3.1872509960159388
VALIDATION (unseen),DIS,2023,5,0.456,0.016650512731884202,0.5,-4.399999999999999
VALIDATION (unseen),DIS,2023,8,0.468,0.01670991236908169,0.5,-3.1999999999999975
VALIDATION (unseen),DIS,2023,10,0.448,0.016790917316292796,0.5,-5.199999999999999
VALIDATION (unseen),DIS,2023,12,0.492,0.016700620398723866,0.5,-0.8000000000000007
VALIDATION (unseen),DIS,2023,15,0.488,0.01655608560968835,0.5,-1.200000000000001
VALIDATION (unseen),DIS,2024,5,0.4342629482071713,0.016333246749923487,0.5219123505976095,-8.764940239043822
VALIDATION (unseen),DIS,2024,8,0.4541832669322709,0.016299431050735814,0.5219123505976095,-6.772908366533864
VALIDATION (unseen),DIS,2024,10,0.46215139442231074,0.016239500964904018,0.5219123505976095,-5.9760956175298805
VALIDATION (unseen),DIS,2024,12,0.4820717131474104,0.01637449338526364,0.5219123505976095,-3.984063745019917
VALIDATION (unseen),DIS,2024,15,0.4860557768924303,0.016271504787316055,0.5219123505976095,-3.585657370517925
