,Close,High,Low,Open,Volume,SimpleReturn,LogReturn
2018-01-02,85.90128326416016,85.95698556877794,84.99412797690144,85.6466432900366,13578800.0,,
2018-01-03,85.9887924194336,86.33096535870285,85.52726176851917,85.82964475651058,11901000.0,0.001018717671589675,0.001018199130876982
2018-01-04,87.22064208984375,88.01253725327506,86.54872641881045,86.67671268099618,12953700.0,0.014325700312215917,0.014224057057926355
2018-01-05,86.66071319580078,87.62859254174796,86.21277347403554,87.39662201362782,14155000.0,-0.006419683238128471,-0.006440378021414821
2018-01-08,86.78870391845703,86.93268542252277,86.148784766449,86.508741577974,12466500.0,0.001476917485863094,0.0014758279159044197
2018-01-09,87.22864532470703,87.6925802819852,86.78069949659147,86.9646782282191,13292300.0,0.005069109070500177,0.0050563043910968304
2018-01-10,88.1884994506836,88.54845006857806,87.50058867196634,87.56458179154929,15834500.0,0.011003886652183104,0.01094378439512197
2018-01-11,88.66044616699219,88.73243996128983,88.02853386519143,88.5244653477551,13676800.0,0.005351567599497731,0.005337298845773785
2018-01-12,90.124267578125,90.26824908102236,88.66045664912217,89.30837646352086,18884200.0,0.016510422340709763,0.016375607197212767
2018-01-16,89.80431365966797,90.73219587070628,88.8444409817236,89.19639714490664,22703300.0,-0.0035501416772089067,-0.003556458384742138
2018-01-17,90.3802261352539,90.62819798695058,89.03640092629911,89.50034196214891,14940300.0,0.006412971182748306,0.006392495576080177
2018-01-18,90.5962142944336,90.96416568809506,89.80431293367361,90.19626633140308,14572900.0,0.002389772281123248,0.0023869213165461176
2018-01-19,90.39623260498048,91.46008945785988,90.2282552071574,91.14013599689468,18785500.0,-0.0022073956512485005,-0.0022098355402238746
2018-01-22,91.45209503173828,91.50008683041152,89.98828414499333,90.11627041175012,12475700.0,0.011680380877948426,0.011612691808749537
2018-01-23,91.35611724853516,91.7000727569096,90.66820623178629,90.92417269596804,12320800.0,-0.0010494869818982178,-0.0010500380789740164
2018-01-24,92.5239715576172,92.78793870997998,91.71608096798175,91.8760577315652,15904500.0,0.012783537044431137,0.012702517382723244
2018-01-25,92.54794311523438,92.9238951237481,92.05201161695732,92.81991086504632,13510000.0,0.00025908483189396314,0.00025905127521479697
2018-01-26,93.04389190673828,93.04389190673828,91.95603298209387,92.54795424609344,13883900.0,0.0053588310535046535,0.005344523609729669
2018-01-29,92.94789123535156,93.86777264288284,92.80390974458386,92.80390974458386,11679900.0,-0.001031778329768751,-0.0010323109794454235
2018-01-30,92.07600402832033,93.2678470356975,91.97201977355604,92.41195879237767,14279100.0,-0.009380387176547655,-0.009424660090569468
2018-01-31,92.5239715576172,93.31587301470556,92.11602897966272,92.5079763223478,13141400.0,0.004865192989468747,0.004853396185070326
2018-02-01,93.48385620117188,93.57983982414076,92.37200114848248,92.60396563913906,13800600.0,0.01037444272435839,0.010320997518442912
2018-02-02,91.4120864868164,93.52381080524022,91.26010433952852,93.17985538429208,16477300.0,-0.022161791335363223,-0.022411053445760856
2018-02-05,87.02869415283203,91.66008699025772,83.17319537074056,90.38825517855658,30097600.0,-0.047951999592707684,-0.04913982486595197
2018-02-06,89.67634582519531,89.97230955794102,85.27691759084176,85.46889093230581,33114800.0,0.03042274387932009,0.029969148988597014
2018-02-07,90.28425598144533,91.54808691509172,88.90843400288988,89.22839359602025,21878300.0,0.006778935411072551,0.006756061742978332
2018-02-08,86.29277038574219,90.4762287680813,86.26077381634377,90.4762287680813,27425800.0,-0.04421020644533469,-0.045217271327124504
2018-02-09,88.02054595947266,88.82844253082479,84.97294451980056,87.26864185726049,28188000.0,0.020022251759991505,0.019824442509198285
2018-02-12,89.38035583496094,90.17225707846598,88.04453130088456,88.92441546872502,18043300.0,0.015448778017286724,0.015330660605924947
2018-02-13,89.93229675292969,90.42823441051128,88.62846862606898,89.04441181105376,16358200.0,0.006175192667479346,0.00615620429637752
2018-02-14,92.01201629638672,92.20398958671622,90.01227672251855,90.09226508492912,15186900.0,0.023125391194785516,0.022862051496064476
2018-02-15,92.3959732055664,92.7799198037855,91.36410680593072,92.57994583725272,12130200.0,0.0041728996345749,0.00416421723437055
2018-02-16,91.73204803466795,92.84390267750088,91.588066550567,91.6280637805419,13214300.0,-0.007185650498223839,-0.007211591628729512
2018-02-20,91.75604248046876,92.29997184483474,91.16412132306824,91.70805068743422,13461500.0,0.0002615710246842706,0.0002615368209481343
2018-02-21,92.13999938964844,93.94775950829585,91.72405015506502,91.98801723439055,14212500.0,0.004184540862923525,0.004175810019712458
2018-02-22,91.97203063964844,93.13187722042422,91.79605257024052,92.38797381056791,17070400.0,-0.001822973205042877,-0.001824636842848237
2018-02-23,93.83578491210938,93.89977804796868,92.23599313195456,92.23599313195456,12162500.0,0.02026435927856407,0.020061769479241678
2018-02-26,95.0036163330078,95.10760668711428,93.84376992694264,94.49968420329292,16511200.0,0.01244548038887583,0.012368672019275386
2018-02-27,93.87579345703124,95.4515895267572,93.86779278840466,95.11563467710492,17563300.0,-0.01187136784375975,-0.011942395218714603
2018-02-28,92.38796997070312,94.7796568352088,92.25998370637272,94.24372808444735,17735600.0,-0.01584885124842239,-0.01597578727129185
2018-03-01,90.73220825195312,93.29987381342154,90.10829031587777,92.3719975784876,18690000.0,-0.01792183245583867,-0.018084373445141164
2018-03-02,90.64421081542967,90.83618413891509,88.88444212758283,89.90030732136167,18353700.0,-0.0009698588651021467,-0.0009703294825241804
2018-03-05,92.03601837158205,92.73192998697186,89.50034988639578,89.62833615701881,13933000.0,0.015354621587322148,0.01523793234867427
2018-03-06,92.11599731445312,92.6439253349792,91.44408171238696,92.4999438561593,10674400.0,0.0008689961200643026,0.0008686187615355335
2018-03-07,91.77206420898438,92.06802180209893,90.476230584579,90.98816349978864,13006500.0,-0.0037336957259951342,-0.0037406833664536975
2018-03-08,91.78002166748048,92.17197491497116,90.55618234614973,92.07598524365768,11173700.0,8.670894094731096e-05,8.670518194438206e-05
2018-03-09,94.41971588134766,94.45171245072916,92.52396033886482,93.22787265981454,15366600.0,0.02876109817701722,0.028355260972354145
2018-03-12,94.1157455444336,94.9876290629475,93.78778532741552,94.38770719518152,12339300.0,-0.003219352378649898,-0.0032245456424784074
2018-03-13,92.9878921508789,94.76366190645362,92.65193736001908,94.5476866103859,13312300.0,-0.011983684419969998,-0.012056067625649985
2018-03-14,91.9480438232422,93.2598727902093,91.66808144054596,93.23587688636708,12905100.0,-0.01118262070022491,-0.011245616280484325
2018-03-15,92.18002319335938,92.7879459271618,91.85206897168786,92.68396163301674,8748000.0,0.0025229397001975684,0.0025197624307495897
2018-03-16,92.3399887084961,93.267864819874,92.2599942328021,92.2599942328021,19888900.0,0.0017353598924700897,0.0017338558952248323
2018-03-19,91.6120834350586,92.3479862545106,90.62821482057257,92.06802388871058,13214900.0,-0.007882882417663994,-0.007914116587075262
